date,nav,scheme_code,scheme_name,fund_house
31-01-2025,58.91000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
30-01-2025,58.32000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
29-01-2025,58.10000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
28-01-2025,57.40000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
27-01-2025,57.13000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
24-01-2025,57.92000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
23-01-2025,58.35000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
22-01-2025,57.99000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
21-01-2025,57.86000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
20-01-2025,58.90000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
17-01-2025,58.65000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
16-01-2025,58.81000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
15-01-2025,58.54000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
14-01-2025,58.48000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
13-01-2025,58.19000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
10-01-2025,59.35000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
09-01-2025,59.81000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
08-01-2025,60.13000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
07-01-2025,60.40000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
06-01-2025,60.24000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
03-01-2025,61.22000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
02-01-2025,61.65000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
01-01-2025,60.64000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
31-12-2024,60.39000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
30-12-2024,60.44000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
27-12-2024,60.72000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
26-12-2024,60.65000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
24-12-2024,60.53000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
23-12-2024,60.58000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
20-12-2024,60.25000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
19-12-2024,61.23000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
18-12-2024,61.74000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
17-12-2024,62.07000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
16-12-2024,62.71000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
13-12-2024,62.85000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
12-12-2024,62.40000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
11-12-2024,62.61000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
10-12-2024,62.60000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
09-12-2024,62.55000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
06-12-2024,62.68000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
05-12-2024,62.67000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
04-12-2024,62.09000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
03-12-2024,61.89000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
